name,description,location
Venkateswara Temple,"Sri Venkateswara Swami Vaari Temple is a Hindu temple situated in the hill town of Tirumala at Tirupati in Tirupati district of Andhra Pradesh, India. The Temple is dedicated to Venkateswara, a form of Vishnu, who is believed to have appeared on the earth to save mankind from trials and troubles of Kali Yuga. Hence the place has also got the name Kaliyuga Vaikuntha and the Lord here is referred to as Kaliyuga Prathyaksha Daivam. The temple is also known by other names like Tirumala Temple, Tirupati Temple and Tirupati Balaji Temple. Venkateswara is known by many other names: Balaji, Govinda, and Srinivasa. The temple is run by Tirumala Tirupati Devasthanams (TTD), which is under control of Andhra Pradesh Government. The head of TTD is appointed by Andhra Pradesh Government. The revenue from this shrine is used by Andhra Pradesh government.


Tirumala Hills are part of Seshachalam Hills range. The hills are 853 metres (2,799 ft) above sea level and comprise seven peaks, representing the seven heads of Adisesha. The temple lies on the seventh peak—Venkatadri, on the southern banks of Sri Swami Pushkarini, a holy water tank. Hence the temple is also referred to as ""Temple of Seven Hills"". Tirumala town covers an area of about 10.33 sq mi (26.75 km).


The Temple is constructed in South Indian architecture and is believed to be constructed over a period of time starting from 300 CE. The Garbhagruha (Sanctum Sanctorum) is called Ananda Nilayam. The presiding deity, Venkateswara, is in standing posture and faces east in Garbha Gruha. The temple follows Vaikhanasa Agama tradition of worship. The temple is one of the eight Vishnu Swayambhu Kshetras and is listed as the 75th Divya Desam. The Temple premises have two modern Queue complex buildings to manage the pilgrim crowd, Tarigonda Vengamamba Annaprasadam complex for free meals to Pilgrims, hair tonsure buildings and a number of pilgrim lodging sites.


It is one of the richest temples in the world in terms of donations received and wealth.


There are several legends associated with the manifestation of the Lord in Tirumala. According to one legend, the temple has a murti of Venkateswara, it is believed, which shall remain here for the entire duration of the present Kali Yuga.

",13.683250°N 79.347194°E
Guruvayur,"Guruvayur (Malayalam: ഗുരുവായൂർ, IPA: [guɾuʋɐːjuːr]) is a municipal temple town in Thrissur District, of Kerala State in India.  It is a suburban town of Thrissur city, located 27 kilometres (17 mi) from Thrissur towards the north-west. It houses the Guruvayur Shri Krishna Temple. It is located at a distance of 292 km (181 mi) from the state capital Trivandrum towards the north-west, 80 km (50 mi) from Kochi towards the north, 90 km (56 mi) from Calicut towards south.


According to Hindu legend, the deity Krishna is said to have asked a deity and a sage to take the idol from his temple in Dvaraka before it was destroyed by a flood, and establish it in Kerala. Accordingly, the idol of Krishna is believed to have been brought by the wind deity Vayu and Sage Brihaspati and was placed in Guruvayur. The name Guruvayur is a portmanteau of their names: Guru referring to the title of Brihaspati, Vayu referring to the deity. Ur is a Malayalam suffix that means city or settlement.


In 2010, the Municipality has been upgraded to Grade 1 by merging adjoining nearby Pookode and Thaikkad panchayats. The Municipality consists of Perakam (CT) village, Pookode Village, Iringappuram(CT) Village , Thaikkad(CT) Village, Chavakkad Village, and Guruvayur Village part, revenue villages of Chavakkad Taluk.  Thus the Municipality total area is 29.66 square kilometers, total number of wards (43), population (67,006) and population density (2,259 per square kilometer) are changed.


Guruvayur Township was formed on 26 January 1962 with four electoral wards with an area of 6.49 square kilometres (2.51 sq mi). Later the wards were increased to 10 and in 1994 to 20 when the township was upgraded to Municipality status with an area of 12.41 km (4.79 sq mi). In 2010, the electoral wards were increased to 43. Guruvayur is a Grade-1 Municipality. Guruvayur assembly constituency is part of Trichur (Lok Sabha constituency).


Ekadashi, the eleventh day of every lunar fortnight, is very auspicious to the Hindus. Of the 24 Ekadashis in a year, the Vrishchika Ekadashi (Sukla paksha) has got special significance in Guruvayur temple. A memorial honour for Gajarajan Keshavan is conducted in Guruvayur. The Karanavar or head of the elephant family places a wreath at the statue of Keshavan in front of Sreevalsam guest house and all the other elephants stand around and pay obeisance. On Ekadashi day, the Udayasthamana Pooja (dawn to dusk pooja) is conducted by the Devaswom itself . After the morning seeveli, on Ekadashi there is a grand elephant procession to the Parthasarathi temple since it is regarded as Geethopadesam Day also. On Ekadashi after night pooja, the famous Ekadashi Vilakku with elephant procession takes place and provides a fitting finale to the festival.

",10.59472°N 76.04028°E
Palani,"Palani (Tamil: [paɻani] or Palni as in British records, is a town and a taluk headquarters in Dindigul district of the western part of Tamil Nadu state in India. It is located about 106 kilometres (66 mi) south-east of Coimbatore and 122 kilometres (76 mi) north-west of Madurai, 67 kilometres (42 mi) from Kodaikanal. The Palani Murugan Temple or  Arulmigu Dhandayuthapani Swamy Temple (Thiru Avinankudi), dedicated to Lord Murugan is situated on a hill overlooking the town. The temple is visited by more than 7 million pilgrims each year. As of 2011, the town had a population of 126,751 which makes it the second largest town in the district after Dindigul.


The town derives its name from the compounding of two Tamil words palam meaning fruit and nee meaning you, a reference to poet Avvaiyar's song praising Lord Muruga which forms part of the legend of the Palani Murugan temple. But the actual correct word is பழனி which means place surrounded by fruitful trees. The word கழனி which is similar in name, both gives agricultural meanings, here கழனி means வயல் (field).


References to the place exist in ancient Tamil devotional texts. According to Hindu mythology, ""Sage Narada once visited the celestial court of Lord Sivan at Mount Kailash to present to Him a fruit, the jnana-palam (literally, the fruit of knowledge), that held in it the elixir of wisdom. Upon Lord Sivan expressing his intention of dividing the fruit between his two sons, Ganesha and Muruga, the sage counselled against cutting it. He decided to award it to whoever of his two sons first circled the world thrice. Accepting the challenge, Lord Murugan started his journey around the globe on his mount peacock. However, Ganesha, who surmised that the world was no more than his parents Shiva and Shakti combined, circumambulated them"". Pleased with their son's discernment, Lord Shiva awarded the fruit to Lord Ganesha. When Murugan returned, he was furious to learn that his efforts had been in vain. He left Kailash and took up his abode in Palani hills in South India. It is believed that Murugan felt the need to get matured from boyhood and hence chose to remain as a hermit and discarded all his robes and ornaments. He went into meditation to know about himself.


Palani and most of Dindigul district were part of the Kongu Nadu region of the Tamil country. The northern part of the Palani and Oddanchatram taluks is held to have been part of the Anda Nadu sub-region, whereas the rest of the area constituted the Vaikapuri Nadu. The area was under the influence of the rulers of Coimbatore and Madurai, at various points of time. In the 18th century, Hyder Ali and his son, Tippu Sultan ruled over the place before being annexed the British after the Third Anglo-Mysore War.


Palani is home to one of the most sacred shrines of the Lord Muruga, as worshiped in the Hindu sect of Kaumaram. The Thandayudhapani Temple dedicated to Lord Murugan ""Palani Andavar"", and regarded one of his Arupadai Veedu (Six Battle Camps), is situated here. The temple is situated atop a hill known as Sivagiri. The Garbagriham is surmounted by a gold gopuram and the walls of the Garbagriham have numerous stone inscriptions describing offerings made by devotees to the temple. Steps are hewn into the rock, besides a wide path meant for the ascent of elephants, up the hill. In addition, a winch pulled railway with three tracks and a rope way are operational. A temple is dedicated to Murugan near the foot of the hill by the name of Thiru Avinan kudi which actually forms a part of the six abodes of Muruga (Arupadaiveedu). It is also called as Kulandai Velayudhaswami Thirukkovil.

",10.450000°N 77.516100°E
Bandipur National Park,"Bandipur National Park is a national park covering 868.63 km (335.38 sq mi) in Chamarajnagar district in the Indian state of Karnataka. It was established as a tiger reserve under Project Tiger in 1973.
It is part of the Nilgiri Biosphere Reserve since 1986.


The Maharaja of the Kingdom of Mysore created a sanctuary of 90 km (35 sq mi) in 1931 and named it the Venugopala Wildlife Park. The Bandipur Tiger Reserve was established under Project Tiger in 1973 by adding nearly 800 km (310 sq mi) to the Venugopala Wildlife park.


Bandipur National Park is located between 75° 12’ 17"" E to 76° 51’ 32"" E and 11° 35’ 34"" N to 11° 57’ 02"" N where the Deccan Plateau meets the Western Ghats, and the altitude of the park ranges from 680 m (2,230 ft) to 1,454 m (4,770 ft). As a result, the park has a variety of biomes including dry deciduous forests, moist deciduous forests and shrublands. The wide range of habitats help support a diverse range of organisms. The park is flanked by the Kabini river in the north and the Moyar in the south. The Nugu river runs through the park. The highest point in the park is on a hill called Himavad Gopalaswamy Betta, where there is a Hindu temple at the summit. Bandipur has typical tropical climate with distinct wet and dry seasons. The dry and hot period usually begins in early March and can last till the arrival of the monsoon rains in June.


Bandipur supports a wide range of timber trees including: teak (Tectona grandis), rosewood (Dalbergia latifolia), sandalwood (Santalum album V), Indian-laurel (Terminalia tomentosa), Indian kino tree (Pterocarpus marsupium), giant clumping bamboo (Dendrocalamus  strictus), clumping bamboo (Bambusa arundinacea) and Grewia tiliaefolia.


There are also several notable flowering and fruiting trees and shrubs including: kadam tree (Adina cordifolia), Indian gooseberry (Emblica officinalis), crape-myrtle (Lagerstroemia lanceolata), axlewood (Anogeissus latifolia), black myrobalan (Terminalia chebula), Schleichera trijuga, Odina wodiar, flame of the forest (Butea monosperma), golden shower tree (Cassia fistula), satinwood (Chloroxylon swietenia), black cutch (Acacia catechu), Shorea talura (E), indigoberry (Randia uliginosa).

",11.66167°N 76.62722°E
,,
Mysore Palace,"Mysore Palace, also known as Amba Vilas Palace, is a historical palace and a royal residence (house). It is located in Mysore, Karnataka. It used to be the official residence of the Wadiyar dynasty and the seat of the Kingdom of Mysore. The palace is in the centre of Mysore, and faces the Chamundi Hills eastward. Mysore is commonly described as the 'City of Palaces', and there are seven palaces including this one. However, the Mysore Palace refers specifically to the one within the new fort.


The land on which the palace now stands was originally known as mysuru (literally, ""citadel""). Yaduraya built the first palace inside the Old Fort in the 14th century, which was set ablaze and reconstructed multiple times. The Old Fort was built of wood and thus easily caught fire, while the current fort was built of stone, bricks and wood. The current structure was constructed between 1897 and 1912, after the Old Palace burnt down, the current structure is also known as the New Fort. Mysore Palace is one of the most famous tourist attractions in India, after the Taj Mahal, with more than six million annual visitors.


The last palace, now known as the Old Palace or the Wooden Palace, burned to ashes during a wedding in 1896. Maharaja Krishnaraja Wodeyar IV and his mother Maharani Kempananjammanni Devi commissioned the British architect Henry Irwin to build a new palace. E.W. Fritchley worked as a consulting Engineer.  Meanwhile, the royal family stayed in the nearby Jaganmohan Palace. Construction was overseen by an executive engineer in the Mysore Palace division. He conducted elaborate architectural studies during his visits to Delhi, Madras, and Calcutta, and these were used to plan the new palace. The construction cost was placed at Rs 41,47,913 (around $30 million adjusted to inflation) and the palace was completed in 1912.


The palace was further expanded in around 1930 (including the addition of the present Public Durbar Hall wing) during the reign of Maharaja Jayachamarajendra Wadiyar.


Mysore Palace main approach

",12.3039°N 76.6547°E
Ganges,"Uttar Pradesh: Fatehgarh, Bijnor, Kannauj, Bithoor, Kasganj, Kanpur, Allahabad, Mirzapur, Varanasi, Ghazipur, Ballia, Lucknow (Gomti tributary), Farrukhabad, Narora


Bihar: Begusarai, Bhagalpur, Patna, Vaishali, Munger, Khagaria, Katihar


Madhya Pradesh: 
Bhopal


Jharkhand: Sahibganj


West Bengal: Murshidabad, Plassey, Nabadwip, Shantipur, Kolkata, Uttarpara, Baranagar, Diamond Harbour, Haldia, Budge Budge, Howrah, Uluberia, Barrackpore

",25.30°N 83.01°E
Yamuna,"Uttar Pradesh: Kairana and Baghpat 


Delhi: New Delhi 


The Yamuna (Hindustani: pronounced [jəmunaː]) is the second-largest tributary river of the Ganges by discharge and the longest tributary in India. Originating from the Yamunotri Glacier at a height of about 4,500 m (14,800 ft) on the southwestern slopes of Bandarpunch peaks of the Lower Himalaya in Uttarakhand, it travels a total length of 1,376 kilometres (855 mi) and has a drainage system of 366,223 square kilometres (141,399 sq mi), 40.2% of the entire Ganges Basin. It merges with the Ganges at Triveni Sangam, Allahabad, which is a site of the Kumbh Mela, a Hindu festival held every 12 years.


Like the Ganges, the Yamuna is highly venerated in Hinduism and worshipped as the goddess Yamuna. In Hinduism she is the daughter of the sun god, Surya, and the sister of Yama, the god of death, and so is also known as Yami. According to popular legends, bathing in its sacred waters frees one from the torments of death.


It crosses several states: Haryana and Uttar Pradesh, passing by Uttarakhand and later Delhi, and meeting its tributaries on the way, including Tons, Chambal, its longest tributary which has its own large basin, followed by Sindh, the Betwa, and Ken. From Uttarakhand, the river flows into the state of Himachal Pradesh. After passing Paonta Sahib, Yamuna flows along the boundary of Haryana and Uttar Pradesh and after exiting Haryana it continues to flow till it merges with the river Ganges at Sangam or Prayag in Allahbad (Uttar Pradesh). It helps create the highly fertile alluvial Ganges-Yamuna Doab region between itself and the Ganges in the Indo-Gangetic plain.

",31.0167000°N 78.45000°E
"Gokarna, Karnataka","Gokarna is a small temple town located in Uttara Kannada district of Karnataka state in India, It has a population of around 20,000. The main temple and deity is Shiva, who is also known as Mahabaleshwara. This temple houses what is believed to be original image of Shiva's linga (Atmalinga).
/n
Gokarna is known as one of the seven important Hindu pilgrimage centers. It is on what was once an unspoiled beach near the estuary of the river Aghanashini. Recently, due to the influx of tourists, the character of the town has changed; it is no longer just a centre of pilgrimage, though large numbers of devotees visit to offer prayers and worship to Shiva.
/n
Due to its laid-back, unspoiled and rustic nature many younger western tourists started visiting Gokarna about three decades ago. Enterprising locals started stores and restaurants. Later the onset of millennial youth increased the tourism. Now the resorts also cater to wealthier tourists.
/n
Gokarna means cow's ear. It is believed that Shiva emerged from the ear of a cow (Prithvi, the Mother Earth) here. It is at the ear-shaped confluence of two rivers Gangavali and Aghanashini.
/n
The Bhagavata Purana relates that 200 years into this current kali yuga a pious brahmana named Atmaveda was unable because of karma incurred in past lives to have any children in his current incarnation. Atmaveda was devastated by not being able to have children, and wandered into a forest to pray for help. There he met a Sannyasi, whom he implored to grant him and his wife the ability to have a child. The Sannyasi warned Atmaveda against opposing his karma, but finally relented and gave Atmaveda a fruit that his wife was to consume to have a child. Atmaveda's wife Dhundhuli did not want to go through the pain of pregnancy and childbirth, so she gave the fruit from the Sannyasi to her cow. A human child was born of the cow, human in all its parts except for its ears, which were cow ears. Because of this the child was named Gokarna.
/n",14.55°N 74.31667°E
Mount Fuji,"Mount Fuji (富士山, Fujisan, Japanese: [ɸɯꜜ(d)ʑisaɴ] (listen)), or Fugaku, located on the island of Honshū, is the highest mountain in Japan, with a summit elevation of 3,776.24 m (12,389 ft 3 in). It is the second-highest volcano located on an island in Asia (after Mount Kerinci on the island of Sumatra), and seventh-highest peak of an island on Earth. Mount Fuji is an active stratovolcano that last erupted from 1707 to 1708. The mountain is located about 100 km (62 mi) southwest of Tokyo and is visible from there on clear days. Mount Fuji's exceptionally symmetrical cone, which is covered in snow for about five months of the year, is commonly used as a cultural icon of Japan and it is frequently depicted in art and photography, as well as visited by sightseers, hikers and mountain climbers.
/n
Mount Fuji is one of Japan's ""Three Holy Mountains"" (三霊山, Sanreizan) along with Mount Tate and Mount Haku. It is a Special Place of Scenic Beauty and one of Japan's Historic Sites. It was added to the World Heritage List as a Cultural Site on June 22, 2013. According to UNESCO, Mount Fuji has ""inspired artists and poets and been the object of pilgrimage for centuries"". UNESCO recognizes 25 sites of cultural interest within the Mount Fuji locality. These 25 locations include the mountain and the Shinto shrine, Fujisan Hongū Sengen Taisha.
/n
The current kanji for Mount Fuji, 富 and 士, mean ""wealth"" or ""abundant"" and ""man of status"" respectively. However, the origins of this spelling and of the name Fuji continue to be debated.
/n
A text of the 9th century, Tale of the Bamboo Cutter, says that the name came from ""immortal"" (不死, fushi, fuji) and also from the image of abundant (富, fu) soldiers (士, shi, ji) ascending the slopes of the mountain. An early folk etymology claims that Fuji came from 不二 (not + two), meaning without equal or nonpareil. Another claims that it came from 不盡 (not + to exhaust), meaning never-ending.
/n
Hirata Atsutane, a Japanese classical scholar in the Edo period,  speculated that the name is from a word meaning, ""a mountain standing up shapely as an ear (穗, ho) of a rice plant"". British missionary John Batchelor (1854–1944) argued that the name is from the Ainu word for ""fire"" (fuchi) of the fire deity Kamui Fuchi, which was denied by a Japanese linguist Kyōsuke Kindaichi on the grounds of phonetic development (sound change). It is also pointed out that huchi means an ""old woman"" and ape is the word for ""fire"", ape huchi kamuy being the fire deity. Research on the distribution of place names that include fuji as a part also suggest the origin of the word fuji is in the Yamato language rather than Ainu. Japanese toponymist Kanji Kagami argued that the name has the same root as wisteria (藤, fuji) and rainbow (虹, niji, but with an alternative reading, fuji), and came from its ""long well-shaped slope"".
/n",35.36056°N 138.72750°E
Mount Kilimanjaro,"Mount Kilimanjaro (/ˌkɪlɪmənˈdʒɑːroʊ/) is a dormant volcano in Tanzania. It has three volcanic cones: Kibo, Mawenzi, and Shira. It is the highest mountain in Africa and the highest single free-standing mountain above sea level in the world: 5,895 metres (19,341 ft) above sea level and about 4,900 metres (16,100 ft) above its plateau base. It is the highest volcano in Africa and the Eastern Hemisphere.
/n
Kilimanjaro is the fourth most topographically prominent peak on Earth. It is part of Kilimanjaro National Park and is a major hiking and climbing destination. Because of its shrinking glaciers and ice fields, which are projected to disappear between 2025 and 2035, it has been the subject of many scientific studies.
/n
The origin of the name Kilimanjaro is not known, but a number of theories exist. European explorers had adopted the name by 1860 and reported that Kilimanjaro was the mountain's Kiswahili name. The 1907 edition of The Nuttall Encyclopædia also records the name of the mountain as Kilima-Njaro.
/n
Johann Ludwig Krapf wrote in 1860 that Swahilis along the coast called the mountain Kilimanjaro. Although he did not offer any support, he claimed that Kilimanjaro meant either mountain of greatness or mountain of caravans. Under the latter meaning, kilima meant mountain and jaro meant caravans. Jim Thompson claimed in 1885, again without support, that the term Kilima-Njaro ""has generally been understood to mean"" the mountain (kilima) of greatness (njaro). He also suggested ""though not improbably it may mean"" the white mountain.
/n
Njaro is an ancient Kiswahili word for shining. Similarly, Krapf wrote that a chief of the Wakamba people, whom he visited in 1849, ""had been to Jagga and had seen the Kima jajeu, mountain of whiteness, the name given by the Wakamba to Kilimanjaro...."" More correctly in the Kikamba language this would be kiima kyeu, and this possible derivation has been popular with several investigators.
/n",3.07583°S 37.35333°E
Mount Kilimanjaro,"Mount Kilimanjaro (/ˌkɪlɪmənˈdʒɑːroʊ/) is a dormant volcano in Tanzania. It has three volcanic cones: Kibo, Mawenzi, and Shira. It is the highest mountain in Africa and the highest single free-standing mountain above sea level in the world: 5,895 metres (19,341 ft) above sea level and about 4,900 metres (16,100 ft) above its plateau base. It is the highest volcano in Africa and the Eastern Hemisphere.


Kilimanjaro is the fourth most topographically prominent peak on Earth. It is part of Kilimanjaro National Park and is a major hiking and climbing destination. Because of its shrinking glaciers and ice fields, which are projected to disappear between 2025 and 2035, it has been the subject of many scientific studies.


The origin of the name Kilimanjaro is not known, but a number of theories exist. European explorers had adopted the name by 1860 and reported that Kilimanjaro was the mountain's Kiswahili name. The 1907 edition of The Nuttall Encyclopædia also records the name of the mountain as Kilima-Njaro.


Johann Ludwig Krapf wrote in 1860 that Swahilis along the coast called the mountain Kilimanjaro. Although he did not offer any support, he claimed that Kilimanjaro meant either mountain of greatness or mountain of caravans. Under the latter meaning, kilima meant mountain and jaro meant caravans. Jim Thompson claimed in 1885, again without support, that the term Kilima-Njaro ""has generally been understood to mean"" the mountain (kilima) of greatness (njaro). He also suggested ""though not improbably it may mean"" the white mountain.


Njaro is an ancient Kiswahili word for shining. Similarly, Krapf wrote that a chief of the Wakamba people, whom he visited in 1849, ""had been to Jagga and had seen the Kima jajeu, mountain of whiteness, the name given by the Wakamba to Kilimanjaro...."" More correctly in the Kikamba language this would be kiima kyeu, and this possible derivation has been popular with several investigators.

",3.07583°S 37.35333°E
Mount Kilimanjaro,"Mount Kilimanjaro (/ˌkɪlɪmənˈdʒɑːroʊ/) is a dormant volcano in Tanzania. It has three volcanic cones: Kibo, Mawenzi, and Shira. It is the highest mountain in Africa and the highest single free-standing mountain above sea level in the world: 5,895 metres (19,341 ft) above sea level and about 4,900 metres (16,100 ft) above its plateau base. It is the highest volcano in Africa and the Eastern Hemisphere.


Kilimanjaro is the fourth most topographically prominent peak on Earth. It is part of Kilimanjaro National Park and is a major hiking and climbing destination. Because of its shrinking glaciers and ice fields, which are projected to disappear between 2025 and 2035, it has been the subject of many scientific studies.


The origin of the name Kilimanjaro is not known, but a number of theories exist. European explorers had adopted the name by 1860 and reported that Kilimanjaro was the mountain's Kiswahili name. The 1907 edition of The Nuttall Encyclopædia also records the name of the mountain as Kilima-Njaro.


Johann Ludwig Krapf wrote in 1860 that Swahilis along the coast called the mountain Kilimanjaro. Although he did not offer any support, he claimed that Kilimanjaro meant either mountain of greatness or mountain of caravans. Under the latter meaning, kilima meant mountain and jaro meant caravans. Jim Thompson claimed in 1885, again without support, that the term Kilima-Njaro ""has generally been understood to mean"" the mountain (kilima) of greatness (njaro). He also suggested ""though not improbably it may mean"" the white mountain.


Njaro is an ancient Kiswahili word for shining. Similarly, Krapf wrote that a chief of the Wakamba people, whom he visited in 1849, ""had been to Jagga and had seen the Kima jajeu, mountain of whiteness, the name given by the Wakamba to Kilimanjaro...."" More correctly in the Kikamba language this would be kiima kyeu, and this possible derivation has been popular with several investigators.

",3.07583°S 37.35333°E
